Year,Pitching,Fielding
1985,462030.31623931625,462630.5549668874
1986,391221.0895953757,404927.16570881224
1987,416934.00340136053,408062.4989270386
1988,434296.29931972787,428935.4210526316
1989,482678.3461538461,457746.0568499534
1990,485947.2487437186,507978.625320787
1991,893026.4953271028,804799.5856697819
1992,1081095.2676056337,985530.6052880075
1993,943156.7373068433,893801.1423135464
1994,958084.8592233009,933879.9167381974
1995,833635.9152542372,883637.9028169014
1996,817770.3911205074,921742.6885485047
1997,1014898.237704918,1114384.6365705614
1998,1118212.1577946767,1175286.5839112345
1999,1386646.603883495,1308936.4400564176
2000,1802144.6875,1729923.297385621
2001,2046170.4462616823,1998504.0016764458
2002,2138134.3261904763,2096031.6965632858
2003,2133800.1867612293,2216200.9609838845
2004,2122075.0023809522,2227914.008591065
2005,2383277.6674584323,2386446.070360598
2006,2534756.866972477,2565803.492487479
2007,2617533.3393665156,2633213.0126475547
2008,2777429.168202765,2949673.404823428
2009,2970731.4617169374,3018377.2872246695
2010,3187588.265258216,3064402.094454073
2011,2885961.860788863,3110970.5549828177
2012,3315726.498866213,3187117.558580858
2013,3393114.314479638,3381254.6870229007
2014,3670899.5890736342,3619677.259762309
2015,3955581.121535181,3996199.5729421354
2016,3962127.143776824,3996840.384551495
